operation,datetime,price
Оплата СБП QR (Сервисы Яндекса),11.11.2024 20:21,-1.0
Т-Банк,12.11.2024 12:21,1028.89
Сбербанк,12.11.2024 12:23,-10.0
Сбербанк,12.11.2024 12:24,10.0
Оплата товаров и услуг OKEY,10.11.2024 13:59,-1326.96
OBEDOV,12.11.2024 13:08,-117.0
OBEDOV,12.11.2024 13:33,-100.0
Сбербанк,13.11.2024 14:11,-400.0
клиента,13.11.2024 22:47,866.0
Сбербанк,14.11.2024 14:26,42298.17
клиента,14.11.2024 14:28,-42000.0
SOLNECHNYJ DEN 51L77,13.11.2024 12:39,-209.0
Банк,14.11.2024 19:59,990.0
клиента,14.11.2024 22:11,1000.0
клиента,14.11.2024 22:12,1000.0
Сбербанк,15.11.2024 01:08,-800.0
Сбербанк,15.11.2024 07:53,10000.0
клиента,15.11.2024 07:55,-10000.0
OOO BAROLINO,14.11.2024 22:14,-1990.0
PYATEROCHKA 91,13.11.2024 22:48,-819.94
PEREKRESTOK,13.11.2024 16:05,-119.94
клиента,16.11.2024 12:41,400.0
клиента,16.11.2024 13:14,1500.0
OBEDOV,15.11.2024 12:22,-207.0
клиента,17.11.2024 07:47,300.0
клиента,17.11.2024 09:30,1000.0
клиента,17.11.2024 09:31,1000.0
"15-01, Альфа Банк",17.11.2024 09:32,-2100.0
Банк,17.11.2024 09:34,700.0
клиента,17.11.2024 13:17,100.0
Y.M*FIRSTBYTE.PRO,16.11.2024 11:22,-411.6
клиента,17.11.2024 17:46,200.0
перевозок_13),17.11.2024 17:47,-109.0
PYATEROCHKA 7050,16.11.2024 13:15,-1437.63
PRACHECHNAYA,16.11.2024 12:41,-340.0
VOKZ.AO SZP,17.11.2024 07:48,-115.0
клиента,18.11.2024 17:23,1000.0
клиента,18.11.2024 22:57,2000.0
клиента,18.11.2024 22:57,400.0
Банк,19.11.2024 00:59,1000.0
PIZZA,17.11.2024 13:19,-985.0
PRACHECHNAYA,17.11.2024 20:03,-30.0
Оплата СБП QR (Wildberries),20.11.2024 12:43,-421.0
клиента,20.11.2024 13:13,500.0
OBEDOV,19.11.2024 12:56,-117.0
PYATEROCHKA 7050,18.11.2024 17:23,-250.97
Оплата товаров и услуг LESNOJ,18.11.2024 17:32,-257.0
LAPSHA,18.11.2024 22:57,-2930.0
Банк,21.11.2024 11:02,200.0
PASSAZHIRAVTOTRANS,21.11.2024 14:08,-44.0
клиента,21.11.2024 18:05,500.0
клиента,21.11.2024 18:05,200.0
клиента,21.11.2024 18:05,300.0
клиента,22.11.2024 08:16,1500.0
PYATEROCHKA 7050,20.11.2024 13:14,-611.33
MM BLANKENBURG,20.11.2024 13:27,-399.76
OBEDOV,21.11.2024 12:43,-117.0
KITCHEN_2,21.11.2024 18:05,-780.5
клиента,22.11.2024 18:07,1000.0
клиента,22.11.2024 22:50,2000.0
Оплата СБП QR (Dzamiko),22.11.2024 22:53,-169.0
клиента,23.11.2024 00:52,600.0
Оплата СБП QR (Сервисы Яндекса),23.11.2024 01:17,-825.0
1171,22.11.2024 08:17,-1305.0
клиента,23.11.2024 14:30,700.0
Оплата СБП QR (Сервисы Яндекса),23.11.2024 14:30,-659.0
Оплата СБП QR (Сервисы Яндекса),23.11.2024 14:31,-1.0
OBEDOV,22.11.2024 13:40,-117.0
Оплата товаров и услуг MAGAZIN 1,22.11.2024 17:54,-176.0
клиента,24.11.2024 14:03,4400.0
клиента,24.11.2024 14:26,400.0
Оплата товаров и услуг BEELINE,22.11.2024 18:17,-750.0
клиента,24.11.2024 15:24,1500.0
Оплата СБП QR (Сервисы Яндекса),24.11.2024 15:24,-1130.0
Оплата СБП QR (Сервисы Яндекса),24.11.2024 15:25,-537.0
Оплата СБП QR (Сервисы Яндекса),24.11.2024 15:25,-3.0
Оплата товаров и услуг KAFE,22.11.2024 20:22,-350.0
Оплата товаров и услуг DZAMIKO.,22.11.2024 22:50,-1560.0
YM*YACHARITY,23.11.2024 01:18,-5.0
Оплата товаров и услуг BEELINE,23.11.2024 11:36,-80.0
Сбербанк,25.11.2024 14:44,9700.0
клиента,25.11.2024 14:45,-9700.0
клиента,25.11.2024 15:24,1600.0
Озон Банк (Ozon),25.11.2024 15:25,-1600.0
Озон Банк (Ozon),25.11.2024 15:27,-10.0
клиента,25.11.2024 21:35,300.0
клиента,26.11.2024 08:38,58.0
клиента,26.11.2024 13:49,200.0
PYATEROCHKA 7050,24.11.2024 13:18,-39.99
MM BLANKENBURG,24.11.2024 14:26,-304.79
Оплата товаров и услуг OKEY,24.11.2024 14:07,-4318.11
клиента,26.11.2024 18:28,300.0
клиента,26.11.2024 20:06,6.0
Оплата СБП QR (Сервисы Яндекса),26.11.2024 20:06,-44.0
Оплата СБП QR (Сервисы Яндекса),26.11.2024 20:06,-6.0
клиента,26.11.2024 22:28,494.0
Озон Банк (Ozon),26.11.2024 22:29,-394.0
CEKH85,25.11.2024 21:40,-288.0
OBEDOV,26.11.2024 13:52,-117.0
Оплата товаров и услуг MAGAZIN 1,26.11.2024 08:40,-118.0
клиента,27.11.2024 19:26,58.0
Оплата СБП QR (Сервисы Яндекса),27.11.2024 22:12,-64.0
Оплата СБП QR (Сервисы Яндекса),27.11.2024 22:12,-6.0
клиента,27.11.2024 22:12,500.0
Яндекса),27.11.2024 22:25,64.0
Яндекса),27.11.2024 22:25,6.0
Оплата СБП QR (Сервисы Яндекса),27.11.2024 22:44,-64.0
Оплата СБП QR (Сервисы Яндекса),27.11.2024 22:44,-6.0
PRACHECHNAYA,26.11.2024 18:32,-340.0
A.YU.,28.11.2024 08:07,-52.0
CEKH85,27.11.2024 12:20,-69.0
OBEDOV,28.11.2024 12:30,-147.0
клиента,30.11.2024 09:58,500.0
клиента,30.11.2024 11:34,500.0
Метрополь_P_QR),30.11.2024 11:38,-459.0
ЦЕХ85_P_QR),30.11.2024 11:41,-539.0
клиента,30.11.2024 11:42,180.0
ЦЕХ85_P_QR),30.11.2024 11:42,-179.0
PYATEROCHKA 7050,28.11.2024 20:49,-178.48
клиента,30.11.2024 15:51,1500.0
Оплата СБП QR (DOSTAEVSKY),30.11.2024 15:52,-1467.0
OBEDOV,29.11.2024 13:13,-117.0
клиента,01.12.2024 12:00,200.0
Оплата СБП QR (Сервисы Яндекса),01.12.2024 12:13,-216.0
клиента,01.12.2024 22:49,847.0
Оплата СБП QR (Сервисы Яндекса),01.12.2024 22:49,-669.1
Оплата СБП QR (Сервисы Яндекса),01.12.2024 22:49,-0.9
Y.M*yacharity,01.12.2024 12:13,-4.0
клиента,02.12.2024 19:54,800.0
Сбербанк,03.12.2024 06:01,-230.0
клиента,03.12.2024 06:01,300.0
ЦЕХ85_P_QR),04.12.2024 11:29,-198.0
A.YU.,03.12.2024 17:28,-108.0
клиента,04.12.2024 14:47,1000.0
Оплата Сбер QR (Playpool_P_QR),04.12.2024 14:48,-650.0
клиента,04.12.2024 15:47,1000.0
OBEDOV,03.12.2024 13:08,-117.0
Оплата Сбер QR (Cinnabon_P_QR),04.12.2024 17:27,-650.0
клиента,05.12.2024 07:58,1000.0
Сбербанк,05.12.2024 07:59,-1000.0
клиента,05.12.2024 13:07,100.0
Обедов_P_QR),05.12.2024 13:07,-117.0
TRUTNEVA VIKTORIYA,04.12.2024 15:47,-1127.0
клиента,05.12.2024 15:58,700.0
ЕРМОЛИНО_P_QR),05.12.2024 15:58,-237.29
Сбербанк,06.12.2024 07:55,22500.0
клиента,06.12.2024 07:55,-23000.0
ERMOLINO,04.12.2024 12:29,-180.53
клиента,06.12.2024 20:55,2500.0
Оплата СБП QR (Сервисы Яндекса),06.12.2024 20:55,-2252.0
Оплата СБП QR (Сервисы Яндекса),06.12.2024 20:55,-8.0
клиента,07.12.2024 19:27,3000.0
ChatGPT),07.12.2024 19:28,-3000.0
Сбербанк,07.12.2024 20:30,370.0
клиента,07.12.2024 22:46,2000.0
Оплата Сбер QR (OKEY_P_QR),07.12.2024 22:46,-1846.93
Сбербанк,08.12.2024 11:41,-200.0
клиента,09.12.2024 13:19,16500.0
бытовая техника (Сев),09.12.2024 13:20,-16198.0
Лесная_P_QR),09.12.2024 13:42,-287.0
клиента,09.12.2024 17:47,500.0
Черниговская В.В.)),09.12.2024 18:25,-959.0
клиента,10.12.2024 08:55,300.0
Сбербанк,10.12.2024 08:56,-300.0
клиента,10.12.2024 19:47,1000.0
Оплата СБП QR (Сервисы Яндекса),10.12.2024 19:47,-1031.7
Оплата СБП QR (Сервисы Яндекса),10.12.2024 19:47,-8.3
